degree,density,node_indices
5,54,"[146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199]"
6,32,"[114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145]"
7,20,"[94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113]"
8,15,"[79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93]"
9,16,"[63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78]"
10,10,"[53, 54, 55, 56, 57, 58, 59, 60, 61, 62]"
11,6,"[47, 48, 49, 50, 51, 52]"
12,6,"[41, 42, 43, 44, 45, 46]"
13,5,"[36, 37, 38, 39, 40]"
14,5,"[31, 32, 33, 34, 35]"
15,4,"[27, 28, 29, 30]"
16,4,"[23, 24, 25, 26]"
17,1,[22]
18,2,"[20, 21]"
20,2,"[18, 19]"
21,2,"[16, 17]"
22,3,"[13, 14, 15]"
24,2,"[11, 12]"
25,1,[10]
27,1,[9]
28,1,[8]
31,2,"[6, 7]"
32,2,"[4, 5]"
34,1,[3]
38,2,"[1, 2]"
42,1,[0]
