,size,tau,sigma_tau,eta,sigma_eta
0,32,12.99783331482937,0.14607453897228934,0.37634849177877805,0.010308167482583163
1,64,21.806339339335477,0.2602208055370435,0.315528451122088,0.007942785641305457
2,128,32.41590597685219,0.2633967291229144,0.30036477564452274,0.0045457102050477805
3,256,48.021296377573066,0.24957199792168108,0.28885668350020227,0.0027879800320020254
4,512,128.58577626941698,0.3109331418891046,0.44039506312146826,0.0019333148536626649
5,1000,276.32133824307294,0.41324583157440176,0.36892191310543937,0.001157736749846526
6,1500,310.72331042514594,0.5727942368908262,0.43179892869022174,0.001485348159958471
7,2000,457.4219499220301,0.4525023332369599,0.4030406565033666,0.0005053955474091686
8,2500,449.2557624272655,0.32839263285696757,0.40083593786100075,0.0003781538078731273
9,3000,519.8359267763092,0.31792359887961935,0.39547761537088155,0.0002697788030187797
10,5000,986.3214937233004,1.226084221508637,0.3993626190619279,0.00029184109995769375
